ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,668.1063,118.33293,-13.242235,588.2155,-28.413643,3.2137232
2025-06-13,,666.1331,118.33293,-13.242235,588.1039,-28.318686,1.2571875
2025-06-14,,664.3141,118.33293,-13.242235,587.9923,-28.125025,-0.6438715
2025-06-15,,670.2835,118.33293,-13.242235,587.8807,-27.823149,5.135261
2025-06-16,,661.5784,118.33293,-13.242235,587.76904,-27.409204,-3.8721302
2025-06-17,,659.9321,118.33293,-13.242235,587.6575,-26.874157,-5.941839
2025-06-18,,667.3002,118.33293,-13.242235,587.54584,-26.212414,0.876041
2025-06-19,,670.3125,118.33293,-13.242235,587.4342,-25.413885,3.2014048
2025-06-20,,669.1821,118.33293,-13.242235,587.32263,-24.481987,1.2507708
2025-06-21,,668.25415,118.33293,-13.242235,587.211,-23.40755,-0.6400083
2025-06-22,,675.1022,118.33293,-13.242235,587.0994,-22.193388,5.105406
2025-06-23,,667.3992,118.33293,-13.242235,586.9878,-20.83384,-3.8454607
2025-06-24,,666.73376,118.33293,-13.242235,586.8762,-19.338272,-5.894887
2025-06-25,,675.0066,118.33293,-13.242235,586.7646,-17.70466,0.8559269
2025-06-26,,678.9855,118.33293,-13.242235,586.65295,-15.936578,3.1783612
2025-06-27,,678.8282,118.33293,-13.242235,586.5414,-14.041372,1.2374822
2025-06-28,,678.86194,118.33293,-13.242235,586.42975,-12.022376,-0.6361365
2025-06-29,,686.59143,118.33293,-13.242235,586.3181,-9.891261,5.0738306
2025-06-30,,679.8147,118.33293,-13.242235,586.20654,-7.65476,-3.8278255
2025-07-01,,680.00214,118.33293,-13.242235,586.0949,-5.3235197,-5.859966
2025-07-02,,689.01965,118.33293,-13.242235,585.9833,-2.9079726,0.85363275
2025-07-03,,693.6936,118.33293,-13.242235,585.8717,-0.4241649,3.1553545
2025-07-04,,694.2062,118.33293,-13.242235,585.7601,2.1207867,1.23459
2025-07-05,,694.8177,118.33293,-13.242235,585.64844,4.7101307,-0.631638
2025-07-06,,702.9906,118.33293,-13.242235,585.53687,7.3246293,5.038423
2025-07-07,,696.6738,118.33293,-13.242235,585.42523,9.959019,-3.8011596
2025-07-08,,697.16565,118.33293,-13.242235,585.31366,12.5921135,-5.8308063
2025-07-09,,706.35223,118.33293,-13.242235,585.202,15.2082205,0.8512963
2025-07-10,,711.116,118.33293,-13.242235,585.0904,17.797245,3.1376238
2025-07-11,,711.6334,118.33293,-13.242235,584.9788,20.335743,1.2281301
2025-07-12,,712.14355,118.33293,-13.242235,584.8672,22.812754,-0.6271382
2025-07-13,,720.06354,118.33293,-13.242235,584.7556,25.212511,5.004726
2025-07-14,,713.4837,118.33293,-13.242235,584.644,27.52354,-3.7745152
2025-07-15,,713.5666,118.33293,-13.242235,584.53235,29.727621,-5.7841372
2025-07-16,,722.1694,118.33293,-13.242235,584.4208,31.81512,0.8427646
2025-07-17,,726.2864,118.33293,-13.242235,584.30914,33.771877,3.1146495
2025-07-18,,726.0896,118.33293,-13.242235,584.1975,35.582924,1.2184143
2025-07-19,,725.7988,118.33293,-13.242235,584.08594,37.24549,-0.62327284
2025-07-20,,732.7885,118.33293,-13.242235,583.9743,38.74655,4.976906
2025-07-21,,725.2788,118.33293,-13.242235,583.8627,40.0777,-3.7523117
2025-07-22,,724.326,118.33293,-13.242235,583.7511,41.233356,-5.7491465
2025-07-23,,731.77747,118.33293,-13.242235,583.63947,42.20685,0.8403862
