ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,15.412722,2.5767212,-0.28542602,22.01758,-9.032263,0.13610952
2025-06-13,,15.768812,2.5767212,-0.28542602,22.060438,-8.773068,0.19014764
2025-06-14,,16.015923,2.5767212,-0.28542602,22.103296,-8.468941,0.09027361
2025-06-15,,16.350609,2.5767212,-0.28542602,22.146156,-8.11915,0.03230746
2025-06-16,,16.529652,2.5767212,-0.28542602,22.189014,-7.7240157,-0.2266427
2025-06-17,,17.0378,2.5767212,-0.28542602,22.231873,-7.282536,-0.20283271
2025-06-18,,17.747082,2.5767212,-0.28542602,22.27473,-6.7941985,-0.024747174
2025-06-19,,18.489388,2.5767212,-0.28542602,22.317589,-6.259069,0.139573
2025-06-20,,19.167797,2.5767212,-0.28542602,22.360447,-5.67868,0.19473611
2025-06-21,,19.734547,2.5767212,-0.28542602,22.403307,-5.0524507,0.09239636
2025-06-22,,20.387316,2.5767212,-0.28542602,22.446165,-4.38362,0.03347646
2025-06-23,,20.877409,2.5767212,-0.28542602,22.489021,-3.670944,-0.23196623
2025-06-24,,21.695961,2.5767212,-0.28542602,22.53188,-2.919788,-0.20742753
2025-06-25,,22.708942,2.5767212,-0.28542602,22.574741,-2.131316,-0.025776803
2025-06-26,,23.744171,2.5767212,-0.28542602,22.6176,-1.3074954,0.14277405
2025-06-27,,24.697796,2.5767212,-0.28542602,22.660456,-0.45322734,0.19927175
2025-06-28,,25.51939,2.5767212,-0.28542602,22.703316,0.43026292,0.09451798
2025-06-29,,26.409008,2.5767212,-0.28542602,22.746174,1.3372847,0.034255106
2025-06-30,,27.107452,2.5767212,-0.28542602,22.789032,2.2645626,-0.23743838
2025-07-01,,28.118317,2.5767212,-0.28542602,22.83189,3.2073894,-0.21225752
2025-07-02,,29.301624,2.5767212,-0.28542602,22.874748,4.1618733,-0.026292775
2025-07-03,,30.47651,2.5767212,-0.28542602,22.917606,5.1216373,0.14597215
2025-07-04,,31.539349,2.5767212,-0.28542602,22.960468,6.0837717,0.20381397
2025-07-05,,32.433445,2.5767212,-0.28542602,23.003325,7.042134,0.09668946
2025-07-06,,33.36187,2.5767212,-0.28542602,23.046183,7.9897923,0.034601387
2025-07-07,,34.062622,2.5767212,-0.28542602,23.08904,8.925047,-0.24276258
2025-07-08,,35.046303,2.5767212,-0.28542602,23.131899,9.840468,-0.21735868
2025-07-09,,36.170197,2.5767212,-0.28542602,23.174757,10.73095,-0.02680535
2025-07-10,,37.25138,2.5767212,-0.28542602,23.217613,11.5931635,0.14930953
2025-07-11,,38.179398,2.5767212,-0.28542602,23.260475,12.419218,0.20840679
2025-07-12,,38.899788,2.5767212,-0.28542602,23.303333,13.206295,0.09886219
2025-07-13,,39.621822,2.5767212,-0.28542602,23.346191,13.948976,0.035356544
2025-07-14,,40.076553,2.5767212,-0.28542602,23.38905,14.644296,-0.24808516
2025-07-15,,40.788353,2.5767212,-0.28542602,23.431908,15.28695,-0.221798
2025-07-16,,41.612526,2.5767212,-0.28542602,23.474766,15.873932,-0.027465792
2025-07-17,,42.362972,2.5767212,-0.28542602,23.517626,16.401548,0.15250489
2025-07-18,,42.930897,2.5767212,-0.28542602,23.560482,16.86623,0.21289143
2025-07-19,,43.262264,2.5767212,-0.28542602,23.60334,17.266644,0.100982465
2025-07-20,,43.574593,2.5767212,-0.28542602,23.646198,17.600527,0.036577042
2025-07-21,,43.59335,2.5767212,-0.28542602,23.68906,17.866486,-0.25348625
2025-07-22,,43.859238,2.5767212,-0.28542602,23.731916,18.06266,-0.22663295
2025-07-23,,44.22634,2.5767212,-0.28542602,23.774775,18.188248,-0.027974859
2025-07-24,,44.51013,2.5767212,-0.28542602,23.817635,18.24536,0.1558457
2025-07-25,,44.601795,2.5767212,-0.28542602,23.860493,18.232584,0.21742645
2025-07-26,,44.449654,2.5767212,-0.28542602,23.90335,18.151854,0.103156246
2025-07-27,,44.278687,2.5767212,-0.28542602,23.946209,18.003845,0.03734114
2025-07-28,,43.813065,2.5767212,-0.28542602,23.989067,17.791512,-0.2588075
2025-07-29,,43.60934,2.5767212,-0.28542602,24.031925,17.517593,-0.23147054
2025-07-30,,43.521767,2.5767212,-0.28542602,24.074785,17.184328,-0.028638296
2025-07-31,,43.363815,2.5767212,-0.28542602,24.117643,16.795689,0.15918984
2025-08-01,,43.030075,2.5767212,-0.28542602,24.160501,16.356312,0.22196859
2025-08-02,,42.46923,2.5767212,-0.28542602,24.20336,15.869303,0.105275296
2025-08-03,,41.915188,2.5767212,-0.28542602,24.246216,15.340045,0.037633978
2025-08-04,,41.09094,2.5767212,-0.28542602,24.289074,14.774696,-0.26412717
2025-08-05,,40.563324,2.5767212,-0.28542602,24.331932,14.176563,-0.23646732
2025-08-06,,40.18904,2.5767212,-0.28542602,24.374794,13.552258,-0.029304832
2025-08-07,,39.779617,2.5767212,-0.28542602,24.41765,12.908291,0.16238251
2025-08-08,,39.227592,2.5767212,-0.28542602,24.46051,12.249223,0.2265658
2025-08-09,,38.484634,2.5767212,-0.28542602,24.503368,11.582578,0.10739333
2025-08-10,,37.78954,2.5767212,-0.28542602,24.546227,10.913631,0.038387287
2025-08-11,,36.85821,2.5767212,-0.28542602,24.589085,10.247445,-0.2696156
2025-08-12,,36.273674,2.5767212,-0.28542602,24.631943,9.5913105,-0.24087678
2025-08-13,,35.88872,2.5767212,-0.28542602,24.6748,8.952434,-0.029810257
2025-08-14,,35.507755,2.5767212,-0.28542602,24.717659,8.333228,0.16557233
2025-08-15,,35.023804,2.5767212,-0.28542602,24.760517,7.7408266,0.23116516
2025-08-16,,34.385178,2.5767212,-0.28542602,24.803375,7.180881,0.10962629
2025-08-17,,33.83447,2.5767212,-0.28542602,24.846235,6.657278,0.039661687
2025-08-18,,33.08103,2.5767212,-0.28542602,24.889093,6.175579,-0.27493587
2025-08-19,,32.716347,2.5767212,-0.28542602,24.931953,5.738814,-0.2457165
2025-08-20,,32.586876,2.5767212,-0.28542602,24.974812,5.3510795,-0.03031233
2025-08-21,,32.493473,2.5767212,-0.28542602,25.01767,5.0157495,0.16875924
2025-08-22,,32.32153,2.5767212,-0.28542602,25.060528,4.734251,0.23545727
2025-08-23,,32.016956,2.5767212,-0.28542602,25.103386,4.5105305,0.11174396
2025-08-24,,31.822388,2.5767212,-0.28542602,25.146242,4.344424,0.040424522
2025-08-25,,31.438179,2.5767212,-0.28542602,25.189102,4.2380366,-0.28025457
2025-08-26,,31.463272,2.5767212,-0.28542602,25.231962,4.190572,-0.25055885
2025-08-27,,31.737602,2.5767212,-0.28542602,25.27482,4.20247,-0.030981736
2025-08-28,,32.054085,2.5767212,-0.28542602,25.317677,4.2728415,0.17227101
