ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,2638.631,756.1951,-86.558174,1887.9996,80.58931,0.405054
2025-06-13,,2636.0295,756.1951,-86.558174,1886.2559,76.898445,3.2381656
2025-06-14,,2631.4766,756.1951,-86.558174,1884.512,73.155106,4.1723685
2025-06-15,,2640.9019,756.1951,-86.558174,1882.7682,69.41855,19.078089
2025-06-16,,2611.9163,756.1951,-86.558174,1881.0243,65.718575,-4.463673
2025-06-17,,2598.0593,756.1951,-86.558174,1879.2804,62.117947,-12.976047
2025-06-18,,2596.6304,756.1951,-86.558174,1877.5366,58.63454,-9.177674
2025-06-19,,2601.185,756.1951,-86.558174,1875.7927,55.33723,0.41805342
2025-06-20,,2599.0732,756.1951,-86.558174,1874.049,52.237797,3.1494017
2025-06-21,,2595.3586,756.1951,-86.558174,1872.3052,49.37087,4.0456
2025-06-22,,2605.4854,756.1951,-86.558174,1870.5613,46.767,18.519976
2025-06-23,,2578.5579,756.1951,-86.558174,1868.8175,44.43123,-4.3278394
2025-06-24,,2566.5327,756.1951,-86.558174,1867.0736,42.391132,-12.568965
2025-06-25,,2566.689,756.1951,-86.558174,1865.3297,40.645447,-8.923086
2025-06-26,,2572.8354,756.1951,-86.558174,1863.5859,39.21478,0.39774498
2025-06-27,,2572.6228,756.1951,-86.558174,1861.842,38.08155,3.062121
2025-06-28,,2570.9062,756.1951,-86.558174,1860.0983,37.25211,3.919056
2025-06-29,,2582.6638,756.1951,-86.558174,1858.3544,36.719116,17.95334
2025-06-30,,2558.502,756.1951,-86.558174,1856.6106,36.45935,-4.2050986
2025-07-01,,2548.7805,756.1951,-86.558174,1854.8667,36.46386,-12.187164
2025-07-02,,2550.8325,756.1951,-86.558174,1853.1229,36.711464,-8.638935
2025-07-03,,2558.5732,756.1951,-86.558174,1851.379,37.179123,0.37791777
2025-07-04,,2560.0684,756.1951,-86.558174,1849.6351,37.837963,2.958152
2025-07-05,,2559.9885,756.1951,-86.558174,1847.8914,38.660255,3.7998948
2025-07-06,,2572.7769,756.1951,-86.558174,1846.1475,39.612785,17.37941
2025-07-07,,2550.6387,756.1951,-86.558174,1844.4037,40.6673,-4.0692306
2025-07-08,,2542.2915,756.1951,-86.558174,1842.6598,41.79235,-11.797876
2025-07-09,,2545.132,756.1951,-86.558174,1840.916,42.93418,-8.355269
2025-07-10,,2553.2754,756.1951,-86.558174,1839.1721,44.09256,0.3734813
2025-07-11,,2555.1357,756.1951,-86.558174,1837.4283,45.201622,2.8686025
2025-07-12,,2555.2473,756.1951,-86.558174,1835.6844,46.245384,3.6804957
2025-07-13,,2567.5718,756.1951,-86.558174,1833.9407,47.180508,16.813532
2025-07-14,,2545.8853,756.1951,-86.558174,1832.1968,47.984833,-3.9335208
2025-07-15,,2537.3052,756.1951,-86.558174,1830.4529,48.626427,-11.411152
2025-07-16,,2539.335,756.1951,-86.558174,1828.7091,49.075245,-8.08638
2025-07-17,,2546.2644,756.1951,-86.558174,1826.9653,49.308,0.35411584
2025-07-18,,2546.924,756.1951,-86.558174,1825.2214,49.29861,2.7669442
2025-07-19,,2545.71,756.1951,-86.558174,1823.4777,49.041058,3.5541103
2025-07-20,,2556.1323,756.1951,-86.558174,1821.7338,48.507465,16.254002
2025-07-21,,2533.5117,756.1951,-86.558174,1819.9899,47.68867,-3.803822
2025-07-22,,2523.435,756.1951,-86.558174,1818.2461,46.580444,-11.02861
2025-07-23,,2523.5098,756.1951,-86.558174,1816.5022,45.173813,-7.8032093
2025-07-24,,2528.2146,756.1951,-86.558174,1814.7584,43.46998,0.34915203
2025-07-25,,2526.798,756.1951,-86.558174,1813.0145,41.467793,2.6786618
2025-07-26,,2523.5215,756.1951,-86.558174,1811.2708,39.17944,3.4344351
2025-07-27,,2531.4658,756.1951,-86.558174,1809.5269,36.613846,15.687882
2025-07-28,,2507.5322,756.1951,-86.558174,1807.783,33.780483,-3.6682553
2025-07-29,,2495.7297,756.1951,-86.558174,1806.0393,30.699203,-10.645702
2025-07-30,,2493.792,756.1951,-86.558174,1804.2953,27.393377,-7.5338397
2025-07-31,,2496.4045,756.1951,-86.558174,1802.5515,23.872362,0.3436799
2025-08-01,,2493.2046,756.1951,-86.558174,1800.8076,20.18405,2.5757754
2025-08-02,,2488.3462,756.1951,-86.558174,1799.0638,16.337036,3.3082404
2025-08-03,,2494.441,756.1951,-86.558174,1797.3201,12.3684845,15.11538
2025-08-04,,2469.9988,756.1951,-86.558174,1795.5762,8.318437,-3.5328481
2025-08-05,,2457.427,756.1951,-86.558174,1793.8323,4.2037077,-10.246076
2025-08-06,,2454.528,756.1951,-86.558174,1792.0885,0.066482455,-7.2639813
2025-08-07,,2456.2498,756.1951,-86.558174,1790.3446,-4.056762,0.32475755
2025-08-08,,2452.5889,756.1951,-86.558174,1788.6008,-8.134539,2.4854577
2025-08-09,,2447.5515,756.1951,-86.558174,1786.8569,-12.12473,3.1822696
2025-08-10,,2453.301,756.1951,-86.558174,1785.1132,-15.998595,14.549451
2025-08-11,,2429.8662,756.1951,-86.558174,1783.3693,-19.732126,-3.408072
