ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,9.443119,0.9557209,1.4519625,9.163441,-2.2594762,0.13147157
2025-06-13,,9.424826,0.9557209,1.4519625,9.176799,-2.2101746,0.050517093
2025-06-14,,9.436741,0.9557209,1.4519625,9.190157,-2.1539621,-0.0071375878
2025-06-15,,9.530601,0.9557209,1.4519625,9.203516,-2.0906818,0.01008292
2025-06-16,,9.575393,0.9557209,1.4519625,9.216875,-2.020053,-0.029112501
2025-06-17,,9.567245,0.9557209,1.4519625,9.230233,-1.9419929,-0.12867941
2025-06-18,,9.765704,0.9557209,1.4519625,9.243591,-1.8559618,-0.029609198
2025-06-19,,10.037208,0.9557209,1.4519625,9.25695,-1.7621208,0.13469449
2025-06-20,,10.069487,0.9557209,1.4519625,9.2703085,-1.6602651,0.051759627
2025-06-21,,10.133898,0.9557209,1.4519625,9.283667,-1.5501318,-0.0073206234
2025-06-22,,10.282959,0.9557209,1.4519625,9.297026,-1.4320366,0.010286589
2025-06-23,,10.3828745,0.9557209,1.4519625,9.310384,-1.3053457,-0.029847514
2025-06-24,,10.428808,0.9557209,1.4519625,9.323742,-1.1707351,-0.13188276
2025-06-25,,10.686132,0.9557209,1.4519625,9.337101,-1.0278817,-0.030770432
2025-06-26,,11.018955,0.9557209,1.4519625,9.350459,-0.87715256,0.1379651
2025-06-27,,11.105598,0.9557209,1.4519625,9.363818,-0.71862036,0.052717175
2025-06-28,,11.225077,0.9557209,1.4519625,9.377176,-0.55227894,-0.007504065
2025-06-29,,11.430017,0.9557209,1.4519625,9.390535,-0.3787176,0.0105163595
2025-06-30,,11.583181,0.9557209,1.4519625,9.4038925,-0.19790018,-0.030494902
2025-07-01,,11.679416,0.9557209,1.4519625,9.417252,-0.010523968,-0.13499565
2025-07-02,,11.990214,0.9557209,1.4519625,9.430611,0.18343547,-0.03151502
2025-07-03,,12.376062,0.9557209,1.4519625,9.443968,0.38317412,0.1412363
2025-07-04,,12.507875,0.9557209,1.4519625,9.457327,0.58861446,0.054249454
2025-07-05,,12.669778,0.9557209,1.4519625,9.470686,0.7990806,-0.00767206
2025-07-06,,12.916146,0.9557209,1.4519625,9.484045,1.0136099,0.010808147
2025-07-07,,13.106379,0.9557209,1.4519625,9.497402,1.232522,-0.031230073
2025-07-08,,13.234966,0.9557209,1.4519625,9.510761,1.4545954,-0.13807477
2025-07-09,,13.579153,0.9557209,1.4519625,9.52412,1.6796098,-0.032260302
2025-07-10,,13.996471,0.9557209,1.4519625,9.5374775,1.9068279,0.14448225
2025-07-11,,14.149271,0.9557209,1.4519625,9.550837,2.135259,0.05549143
2025-07-12,,14.328604,0.9557209,1.4519625,9.564196,2.3645632,-0.007839714
2025-07-13,,14.590313,0.9557209,1.4519625,9.577555,2.5940037,0.011072445
2025-07-14,,14.789814,0.9557209,1.4519625,9.590912,2.8231835,-0.031966385
2025-07-15,,14.921654,0.9557209,1.4519625,9.604271,3.050967,-0.1412674
2025-07-16,,15.269451,0.9557209,1.4519625,9.61763,3.2771018,-0.032964382
2025-07-17,,15.687126,0.9557209,1.4519625,9.630987,3.5007017,0.14775412
2025-07-18,,15.829681,0.9557209,1.4519625,9.644346,3.720913,0.0567388
2025-07-19,,15.994604,0.9557209,1.4519625,9.657705,3.93724,-0.008023463
2025-07-20,,16.239294,0.9557209,1.4519625,9.671062,4.149311,0.011236545
2025-07-21,,16.41575,0.9557209,1.4519625,9.684422,4.356302,-0.032656338
2025-07-22,,16.518435,0.9557209,1.4519625,9.697781,4.5573497,-0.14437826
2025-07-23,,16.83728,0.9557209,1.4519625,9.711139,4.752167,-0.033710174
2025-07-24,,17.22335,0.9557209,1.4519625,9.724497,4.940169,0.15099955
2025-07-25,,17.324432,0.9557209,1.4519625,9.737856,5.1212244,0.057668786
2025-07-26,,17.444782,0.9557209,1.4519625,9.751214,5.294076,-0.008190761
2025-07-27,,17.642504,0.9557209,1.4519625,9.764572,5.4587483,0.011500216
2025-07-28,,17.766903,0.9557209,1.4519625,9.777931,5.614682,-0.033393856
2025-07-29,,17.813255,0.9557209,1.4519625,9.791289,5.7617707,-0.14748806
2025-07-30,,18.077322,0.9557209,1.4519625,9.804647,5.8994026,-0.034412894
2025-07-31,,18.407251,0.9557209,1.4519625,9.8180065,6.027317,0.15424438
2025-08-01,,18.443657,0.9557209,1.4519625,9.831365,6.14538,0.05922767
2025-08-02,,18.49736,0.9557209,1.4519625,9.844723,6.253329,-0.008374844
2025-08-03,,18.628546,0.9557209,1.4519625,9.858082,6.3509464,0.011833134
2025-08-04,,18.68298,0.9557209,1.4519625,9.871441,6.4379888,-0.034132514
2025-08-05,,18.656466,0.9557209,1.4519625,9.884798,6.5145974,-0.15061347
2025-08-06,,18.851305,0.9557209,1.4519625,9.898157,6.5805774,-0.035114452
2025-08-07,,19.112532,0.9557209,1.4519625,9.911516,6.635815,0.15751693
2025-08-08,,19.073542,0.9557209,1.4519625,9.924874,6.6805143,0.06046892
2025-08-09,,19.051975,0.9557209,1.4519625,9.938232,6.7146177,-0.008559323
2025-08-10,,19.109657,0.9557209,1.4519625,9.9515915,6.738282,0.01209985
2025-08-11,,19.089273,0.9557209,1.4519625,9.96495,6.7514095,-0.03477114
2025-08-12,,18.986496,0.9557209,1.4519625,9.978308,6.7543154,-0.1538114
2025-08-13,,19.11067,0.9557209,1.4519625,9.991667,6.7471805,-0.03586057
2025-08-14,,19.303541,0.9557209,1.4519625,10.005026,6.730042,0.16079009
2025-08-15,,19.190945,0.9557209,1.4519625,10.018383,6.7031665,0.06170997
2025-08-16,,19.097494,0.9557209,1.4519625,10.031742,6.6667786,-0.008708393
2025-08-17,,19.086124,0.9557209,1.4519625,10.045101,6.6211205,0.012218926
2025-08-18,,18.997221,0.9557209,1.4519625,10.058458,6.566589,-0.035509933
2025-08-19,,18.82572,0.9557209,1.4519625,10.071817,6.5031404,-0.15692022
2025-08-20,,18.887526,0.9557209,1.4519625,10.085176,6.431273,-0.03660738
2025-08-21,,19.021597,0.9557209,1.4519625,10.098534,6.351315,0.16406381
2025-08-22,,18.845299,0.9557209,1.4519625,10.111893,6.2630982,0.06262483
2025-08-23,,18.691734,0.9557209,1.4519625,10.125252,6.1676927,-0.0088927755
2025-08-24,,18.623466,0.9557209,1.4519625,10.13861,6.064688,0.012484149
2025-08-25,,18.478348,0.9557209,1.4519625,10.151968,5.9549465,-0.036249865
2025-08-26,,18.251036,0.9557209,1.4519625,10.165327,5.8380523,-0.16002804
2025-08-27,,18.264008,0.9557209,1.4519625,10.178686,5.7149453,-0.037307393
2025-08-28,,18.352566,0.9557209,1.4519625,10.192043,5.58556,0.16727823
2025-08-29,,18.12775,0.9557209,1.4519625,10.205402,5.4504595,0.064203985
2025-08-30,,17.92715,0.9557209,1.4519625,10.218761,5.309783,-0.009077542
