ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,2.4739187,0.79383063,0.36266205,2.9265342,-1.6347759,0.025667693
2025-06-13,,2.5176466,0.79383063,0.36266205,2.9358263,-1.5875666,0.0128942
2025-06-14,,2.5514832,0.79383063,0.36266205,2.945119,-1.5332406,-0.016887847
2025-06-15,,2.6543348,0.79383063,0.36266205,2.9544115,-1.471728,0.01515843
2025-06-16,,2.7338161,0.79383063,0.36266205,2.9637043,-1.4029509,0.016569845
2025-06-17,,2.7688024,0.79383063,0.36266205,2.9729965,-1.3268718,-0.033815138
2025-06-18,,2.8753943,0.79383063,0.36266205,2.982289,-1.243224,-0.020163422
2025-06-19,,3.0221877,0.79383063,0.36266205,2.9915817,-1.1522206,0.026334044
2025-06-20,,3.116693,0.79383063,0.36266205,3.000874,-1.0538985,0.013225111
2025-06-21,,3.2011497,0.79383063,0.36266205,3.0101664,-0.9481896,-0.017319947
2025-06-22,,3.3558366,0.79383063,0.36266205,3.019459,-0.8355805,0.015465542
2025-06-23,,3.486513,0.79383063,0.36266205,3.0287514,-0.71572703,0.016996026
2025-06-24,,3.5704188,0.79383063,0.36266205,3.038044,-0.589449,-0.03466868
2025-06-25,,3.7262871,0.79383063,0.36266205,3.0473368,-0.45675483,-0.02078738
2025-06-26,,3.9220479,0.79383063,0.36266205,3.0566292,-0.31807458,0.027000437
2025-06-27,,4.061995,0.79383063,0.36266205,3.0659215,-0.17387572,0.013456889
2025-06-28,,4.1896396,0.79383063,0.36266205,3.0752141,-0.02431542,-0.0177519
2025-06-29,,4.386672,0.79383063,0.36266205,3.0845068,0.12981613,0.015856806
2025-06-30,,4.555932,0.79383063,0.36266205,3.0937989,0.2882325,0.01740812
2025-07-01,,4.674202,0.79383063,0.36266205,3.1030915,0.4501511,-0.035533275
2025-07-02,,4.862853,0.79383063,0.36266205,3.1123836,0.6152758,-0.021299247
2025-07-03,,5.0885224,0.79383063,0.36266205,3.1216762,0.7826867,0.02766686
2025-07-04,,5.2534213,0.79383063,0.36266205,3.130969,0.9520698,0.01388978
2025-07-05,,5.4011817,0.79383063,0.36266205,3.1402617,1.1226166,-0.018189529
2025-07-06,,5.615706,0.79383063,0.36266205,3.149554,1.2933276,0.01633141
2025-07-07,,5.797382,0.79383063,0.36266205,3.1588464,1.464208,0.01783422
2025-07-08,,5.922425,0.79383063,0.36266205,3.168139,1.6341105,-0.03631788
2025-07-09,,6.114688,0.79383063,0.36266205,3.1774313,1.8025748,-0.021810995
2025-07-10,,6.340523,0.79383063,0.36266205,3.186724,1.9689732,0.028333295
2025-07-11,,6.4990315,0.79383063,0.36266205,3.1960163,2.132302,0.014220404
2025-07-12,,6.6353874,0.79383063,0.36266205,3.2053092,2.2922125,-0.018627292
2025-07-13,,6.8358097,0.79383063,0.36266205,3.2146015,2.447997,0.016717643
2025-07-14,,6.9979305,0.79383063,0.36266205,3.2238941,2.5992832,0.018260451
2025-07-15,,7.097635,0.79383063,0.36266205,3.2331867,2.7452128,-0.037256986
2025-07-16,,7.262148,0.79383063,0.36266205,3.2424788,2.8855019,-0.022325946
2025-07-17,,7.456805,0.79383063,0.36266205,3.2517715,3.0195413,0.02899977
2025-07-18,,7.5788946,0.79383063,0.36266205,3.261064,3.1467838,0.014554281
2025-07-19,,7.6746945,0.79383063,0.36266205,3.2703562,3.2669044,-0.019059107
2025-07-20,,7.8328843,0.79383063,0.36266205,3.2796488,3.3797183,0.017024264
2025-07-21,,7.948947,0.79383063,0.36266205,3.2889416,3.4848332,0.018679177
2025-07-22,,7.9983954,0.79383063,0.36266205,3.2982342,3.5817902,-0.038121954
2025-07-23,,8.111733,0.79383063,0.36266205,3.3075266,3.6705518,-0.022837522
2025-07-24,,8.254034,0.79383063,0.36266205,3.316819,3.7510562,0.029666258
2025-07-25,,8.320657,0.79383063,0.36266205,3.3261116,3.8232768,0.014775996
2025-07-26,,8.359275,0.79383063,0.36266205,3.335404,3.8868754,-0.019497002
