ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,172.93301,34.11049,-7.02512,292.08066,-147.5059,1.272895
2025-06-13,,175.978,34.11049,-7.02512,293.06265,-144.53754,0.36751738
2025-06-14,,180.71715,34.11049,-7.02512,294.04462,-140.9416,0.5287619
2025-06-15,,188.21115,34.11049,-7.02512,295.02658,-136.69928,2.798491
2025-06-16,,191.84125,34.11049,-7.02512,296.0086,-131.79541,0.5426845
2025-06-17,,193.72626,34.11049,-7.02512,296.9906,-126.21412,-4.1355743
2025-06-18,,203.68033,34.11049,-7.02512,297.97253,-119.92573,-1.4518481
2025-06-19,,214.42726,34.11049,-7.02512,298.95453,-112.93135,1.3187165
2025-06-20,,222.17157,34.11049,-7.02512,299.9365,-105.23077,0.38046348
2025-06-21,,231.7479,34.11049,-7.02512,300.9185,-96.804565,0.54861724
2025-06-22,,244.1987,34.11049,-7.02512,301.90045,-87.68514,2.8980105
2025-06-23,,252.6954,34.11049,-7.02512,302.88245,-77.834854,0.5624677
2025-06-24,,259.34604,34.11049,-7.02512,303.8644,-67.319984,-4.283759
2025-06-25,,274.28925,34.11049,-7.02512,304.84644,-56.128685,-1.5138757
2025-06-26,,289.9821,34.11049,-7.02512,305.8284,-44.29762,1.365946
2025-06-27,,302.43155,34.11049,-7.02512,306.81036,-31.853466,0.38931063
2025-06-28,,316.63257,34.11049,-7.02512,307.79233,-18.81365,0.56851304
2025-06-29,,333.61646,34.11049,-7.02512,308.77432,-5.2431893,2.999956
2025-06-30,,346.263,34.11049,-7.02512,309.7563,8.8404,0.5809426
2025-07-01,,356.75998,34.11049,-7.02512,310.73825,23.36865,-4.4323177
2025-07-02,,375.55157,34.11049,-7.02512,311.72025,38.31208,-1.5661305
2025-07-03,,394.78903,34.11049,-7.02512,312.7022,53.588226,1.4132015
2025-07-04,,410.34912,34.11049,-7.02512,313.68423,69.17219,0.407315
2025-07-05,,427.32574,34.11049,-7.02512,314.6662,84.98688,0.5872851
2025-07-06,,446.7754,34.11049,-7.02512,315.6482,100.93824,3.103562
2025-07-07,,461.3393,34.11049,-7.02512,316.63013,117.02308,0.6007115
2025-07-08,,473.2489,34.11049,-7.02512,317.61212,133.12892,-4.5775213
2025-07-09,,493.2794,34.11049,-7.02512,318.5941,149.21829,-1.6183902
2025-07-10,,513.3299,34.11049,-7.02512,319.57608,165.20874,1.45969
2025-07-11,,529.0809,34.11049,-7.02512,320.55804,181.01724,0.42018545
2025-07-12,,545.8225,34.11049,-7.02512,321.54007,196.59106,0.6060217
2025-07-13,,564.6769,34.11049,-7.02512,322.52203,211.86488,3.2045708
2025-07-14,,577.99725,34.11049,-7.02512,323.50403,226.78731,0.6204938
2025-07-15,,588.1095,34.11049,-7.02512,324.486,241.26733,-4.729251
2025-07-16,,606.1557,34.11049,-7.02512,325.468,255.27266,-1.670317
2025-07-17,,623.7742,34.11049,-7.02512,326.44992,268.7319,1.5069718
2025-07-18,,636.5349,34.11049,-7.02512,327.43192,281.5835,0.4341602
2025-07-19,,649.9049,34.11049,-7.02512,328.41388,293.77963,0.6259634
2025-07-20,,665.08215,34.11049,-7.02512,329.39587,305.29596,3.3049123
2025-07-21,,674.18317,34.11049,-7.02512,330.37787,316.08038,0.63956195
2025-07-22,,679.6444,34.11049,-7.02512,331.35986,326.077,-4.8778286
2025-07-23,,692.9801,34.11049,-7.02512,332.34183,335.27545,-1.7225742
2025-07-24,,705.6112,34.11049,-7.02512,333.32382,343.64853,1.5534358
2025-07-25,,713.0251,34.11049,-7.02512,334.3058,351.19144,0.44237623
2025-07-26,,720.87164,34.11049,-7.02512,335.28778,357.85376,0.6446665
2025-07-27,,730.4138,34.11049,-7.02512,336.2697,363.65286,3.4058385
2025-07-28,,733.5689,34.11049,-7.02512,337.2517,368.57242,0.6593503
2025-07-29,,732.92737,34.11049,-7.02512,338.23367,372.63467,-5.0264115
2025-07-30,,740.36255,34.11049,-7.02512,339.2157,375.83597,-1.7744771
2025-07-31,,747.0617,34.11049,-7.02512,340.19766,378.17877,1.5998755
2025-08-01,,748.43866,34.11049,-7.02512,341.17966,379.71265,0.4609994
2025-08-02,,750.3498,34.11049,-7.02512,342.16162,380.43814,0.6646513
2025-08-03,,754.1289,34.11049,-7.02512,343.14362,380.39136,3.5085685
2025-08-04,,751.5025,34.11049,-7.02512,344.12558,379.6124,0.67915225
2025-08-05,,745.15094,34.11049,-7.02512,345.10754,378.12897,-5.17098
2025-08-06,,747.336,34.11049,-7.02512,346.0895,375.98746,-1.8263639
2025-08-07,,749.0374,34.11049,-7.02512,347.0715,373.2334,1.6471828
2025-08-08,,745.52747,34.11049,-7.02512,348.0535,369.91473,0.4737924
2025-08-09,,742.8971,34.11049,-7.02512,349.0355,366.09158,0.684677
2025-08-10,,742.5125,34.11049,-7.02512,350.01746,361.80014,3.6094851
2025-08-11,,735.87714,34.11049,-7.02512,350.99945,357.09482,0.6973783
2025-08-12,,725.77966,34.11049,-7.02512,351.9814,352.03598,-5.323138
2025-08-13,,724.8627,34.11049,-7.02512,352.9634,346.6925,-1.8786105
2025-08-14,,723.81244,34.11049,-7.02512,353.94537,341.08707,1.694517
2025-08-15,,717.7878,34.11049,-7.02512,354.92734,335.2885,0.4865486
2025-08-16,,713.0502,34.11049,-7.02512,355.9093,329.35352,0.70195496
2025-08-17,,711.011,34.11049,-7.02512,356.89136,323.32343,3.7108862
2025-08-18,,702.93634,34.11049,-7.02512,357.8733,317.2605,0.71716607
2025-08-19,,691.65753,34.11049,-7.02512,358.8553,311.18863,-5.471735
2025-08-20,,690.15985,34.11049,-7.02512,359.83725,305.16803,-1.9308617
2025-08-21,,688.8795,34.11049,-7.02512,360.81924,299.233,1.7418778
2025-08-22,,682.7804,34.11049,-7.02512,361.8012,293.3971,0.49673423
2025-08-23,,678.3258,34.11049,-7.02512,362.78317,287.73523,0.7219855
2025-08-24,,676.8932,34.11049,-7.02512,363.76517,282.2309,3.8117518
2025-08-25,,669.5097,34.11049,-7.02512,364.7471,276.94022,0.7369672
2025-08-26,,659.0337,34.11049,-7.02512,365.72916,271.83942,-5.62034
2025-08-27,,658.7959,34.11049,-7.02512,366.7111,266.9821,-1.9827174
2025-08-28,,658.9187,34.11049,-7.02512,367.69308,262.35287,1.7873222
2025-08-29,,654.2476,34.11049,-7.02512,368.67505,257.97253,0.5146586
2025-08-30,,651.30365,34.11049,-7.02512,369.65704,253.81915,0.7420572
2025-08-31,,651.53595,34.11049,-7.02512,370.639,249.89688,3.9146326
2025-09-01,,645.65845,34.11049,-7.02512,371.621,246.19614,0.7559203
2025-09-02,,636.63116,34.11049,-7.02512,372.60297,242.7073,-5.764469
2025-09-03,,638.0394,34.11049,-7.02512,373.58496,239.40367,-2.0345566
2025-09-04,,639.759,34.11049,-7.02512,374.56696,236.27191,1.8346817
2025-09-05,,636.44653,34.11049,-7.02512,375.54895,233.28484,0.5273751
2025-09-06,,634.7886,34.11049,-7.02512,376.53088,230.41014,0.76216936
2025-09-07,,636.23914,34.11049,-7.02512,377.51288,227.62402,4.0168176
2025-09-08,,631.24664,34.11049,-7.02512,378.49484,224.89064,0.7757276
2025-09-09,,622.8414,34.11049,-7.02512,379.47684,222.19615,-5.9170537
2025-09-10,,624.9398,34.11049,-7.02512,380.4588,219.48242,-2.086797
2025-09-11,,627.13165,34.11049,-7.02512,381.4408,216.72342,1.8820677
2025-09-12,,623.95245,34.11049,-7.02512,382.4228,213.90276,0.5414787
2025-09-13,,622.2347,34.11049,-7.02512,383.4048,210.96376,0.78077483
2025-09-14,,623.4804,34.11049,-7.02512,384.38675,207.89273,4.1155252
2025-09-15,,617.8854,34.11049,-7.02512,385.36874,204.63655,0.79464215
2025-09-16,,608.57385,34.11049,-7.02512,386.35068,201.20346,-6.0656714
2025-09-17,,609.81635,34.11049,-7.02512,387.33267,197.53737,-2.1390426
2025-09-18,,610.9663,34.11049,-7.02512,388.31464,193.63783,1.928433
2025-09-19,,606.39734,34.11049,-7.02512,389.29663,189.4669,0.54843277
2025-09-20,,603.1896,34.11049,-7.02512,390.2786,185.02466,0.80092996
2025-09-21,,602.8621,34.11049,-7.02512,391.26062,180.2984,4.217695
2025-09-22,,595.4129,34.11049,-7.02512,392.24258,175.27051,0.8144558
2025-09-23,,584.0433,34.11049,-7.02512,393.22458,169.9474,-6.214022
2025-09-24,,583.43164,34.11049,-7.02512,394.20654,164.33057,-2.190851
2025-09-25,,582.69147,34.11049,-7.02512,395.18848,158.4417,1.9758451
2025-09-26,,576.08813,34.11049,-7.02512,396.17047,152.26549,0.5667973
2025-09-27,,570.888,34.11049,-7.02512,397.15244,145.83063,0.8195026
2025-09-28,,568.7104,34.11049,-7.02512,398.13443,139.16837,4.322157
2025-09-29,,559.3243,34.11049,-7.02512,399.1164,132.28912,0.83333194
2025-09-30,,546.0695,34.11049,-7.02512,400.09842,125.24371,-6.357987
2025-10-01,,543.9623,34.11049,-7.02512,401.08038,118.03959,-2.2430935
2025-10-02,,541.9036,34.11049,-7.02512,402.06238,110.73257,2.023285
2025-10-03,,534.0788,34.11049,-7.02512,403.04434,103.36809,0.5809321
2025-10-04,,527.9173,34.11049,-7.02512,404.02634,95.96755,0.83803916
2025-10-05,,525.1267,34.11049,-7.02512,405.00827,88.61004,4.422987
2025-10-06,,515.2477,34.11049,-7.02512,405.99026,81.31889,0.8531518
2025-10-07,,501.71674,34.11049,-7.02512,406.97223,74.170395,-6.511285
2025-10-08,,499.9315,34.11049,-7.02512,407.95422,67.18724,-2.2953413
2025-10-09,,498.52585,34.11049,-7.02512,408.93622,60.438297,2.0659246
2025-10-10,,491.57623,34.11049,-7.02512,409.9182,53.977535,0.5951001
2025-10-11,,486.69693,34.11049,-7.02512,410.90018,47.85313,0.8582398
2025-10-12,,485.6131,34.11049,-7.02512,411.88217,42.124138,4.5214243
2025-10-13,,477.65353,34.11049,-7.02512,412.86414,36.831024,0.872985
2025-10-14,,466.29117,34.11049,-7.02512,413.84613,32.019608,-6.6599264
2025-10-15,,467.30515,34.11049,-7.02512,414.82806,27.738325,-2.346646
2025-10-16,,469.04318,34.11049,-7.02512,415.81006,24.031796,2.1159399
2025-10-17,,465.41428,34.11049,-7.02512,416.79202,20.929178,0.60770136
2025-10-18,,464.2085,34.11049,-7.02512,417.77405,18.470612,0.8784822
2025-10-19,,467.13354,34.11049,-7.02512,418.756,16.670012,4.6221385
2025-10-20,,463.2756,34.11049,-7.02512,419.738,15.561448,0.8907956
2025-10-21,,456.15988,34.11049,-7.02512,420.71997,15.157492,-6.8029923
2025-10-22,,461.85632,34.11049,-7.02512,421.70197,15.467879,-2.398878
2025-10-23,,468.4327,34.11049,-7.02512,422.68393,16.499985,2.1634047
2025-10-24,,469.6118,34.11049,-7.02512,423.66592,18.24023,0.62026536
2025-10-25,,473.34076,34.11049,-7.02512,424.64786,20.710522,0.8969876
2025-10-26,,481.291,34.11049,-7.02512,425.62985,23.847366,4.728416
