ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,3.7270358,1.4158422,0.22938515,4.505922,-2.479689,0.05557602
2025-06-13,,3.8362155,1.4158422,0.22938515,4.5189047,-2.394792,0.06687542
2025-06-14,,3.9096017,1.4158422,0.22938515,4.531888,-2.2974002,0.029886765
2025-06-15,,4.0203032,1.4158422,0.22938515,4.544871,-2.1874688,0.017673606
2025-06-16,,4.079348,1.4158422,0.22938515,4.557855,-2.0647907,-0.058943793
2025-06-17,,4.197542,1.4158422,0.22938515,4.570838,-1.929572,-0.0889508
2025-06-18,,4.4237757,1.4158422,0.22938515,4.5838213,-1.7812009,-0.024071813
2025-06-19,,4.6787066,1.4158422,0.22938515,4.596804,-1.620212,0.05688655
2025-06-20,,4.8766522,1.4158422,0.22938515,4.6097875,-1.4467723,0.06840957
2025-06-21,,5.03784,1.4158422,0.22938515,4.6227703,-1.2607208,0.030563211
2025-06-22,,5.2361526,1.4158422,0.22938515,4.6357536,-1.0629951,0.018166881
2025-06-23,,5.3807135,1.4158422,0.22938515,4.6487365,-0.85298103,-0.060269304
2025-06-24,,5.583758,1.4158422,0.22938515,4.6617203,-0.63227224,-0.09091724
2025-06-25,,5.8943515,1.4158422,0.22938515,4.674704,-0.40075567,-0.024824157
2025-06-26,,6.2316875,1.4158422,0.22938515,4.6876874,-0.15937583,0.05814874
2025-06-27,,6.507036,1.4158422,0.22938515,4.7006702,0.09125292,0.06988585
2025-06-28,,6.7407866,1.4158422,0.22938515,4.7136536,0.35066628,0.031239524
2025-06-29,,7.007945,1.4158422,0.22938515,4.7266364,0.61750937,0.018571869
2025-06-30,,7.214575,1.4158422,0.22938515,4.7396197,0.8913569,-0.061629046
2025-07-01,,7.475793,1.4158422,0.22938515,4.7526026,1.170895,-0.092932366
2025-07-02,,7.8409405,1.4158422,0.22938515,4.765586,1.4554807,-0.025353584
2025-07-03,,8.226751,1.4158422,0.22938515,4.778569,1.7435445,0.059410434
2025-07-04,,8.542901,1.4158422,0.22938515,4.7915525,2.03466,0.07146102
2025-07-05,,8.809082,1.4158422,0.22938515,4.8045363,2.3273966,0.031922232
2025-07-06,,9.101701,1.4158422,0.22938515,4.817519,2.6200783,0.018876413
2025-07-07,,9.325435,1.4158422,0.22938515,4.8305025,2.9126608,-0.06295477
2025-07-08,,9.596925,1.4158422,0.22938515,4.8434854,3.2031937,-0.0949821
2025-07-09,,9.966829,1.4158422,0.22938515,4.8564687,3.4910166,-0.025882324
2025-07-10,,10.350136,1.4158422,0.22938515,4.869452,3.7747598,0.06069776
2025-07-11,,10.653783,1.4158422,0.22938515,4.882435,4.053125,0.07299581
2025-07-12,,10.898378,1.4158422,0.22938515,4.8954186,4.325127,0.032605097
2025-07-13,,11.162772,1.4158422,0.22938515,4.9084015,4.589871,0.01927324
2025-07-14,,11.348771,1.4158422,0.22938515,4.921385,4.846441,-0.06428016
2025-07-15,,11.576052,1.4158422,0.22938515,4.934368,5.0933943,-0.096937925
2025-07-16,,11.896469,1.4158422,0.22938515,4.9473515,5.3303304,-0.026439767
2025-07-17,,12.223634,1.4158422,0.22938515,4.960335,5.5561132,0.06195903
2025-07-18,,12.462794,1.4158422,0.22938515,4.9733176,5.769737,0.07451231
2025-07-19,,12.635538,1.4158422,0.22938515,4.986301,5.9707294,0.033281192
2025-07-20,,12.822825,1.4158422,0.22938515,4.999284,6.158534,0.019780984
2025-07-21,,12.924252,1.4158422,0.22938515,5.0122676,6.332381,-0.06562364
2025-07-22,,13.063189,1.4158422,0.22938515,5.0252504,6.4916654,-0.09895407
2025-07-23,,13.292669,1.4158422,0.22938515,5.0382338,6.6361766,-0.02696776
2025-07-24,,13.525155,1.4158422,0.22938515,5.051217,6.765464,0.06324702
2025-07-25,,13.665001,1.4158422,0.22938515,5.0642004,6.87959,0.075984135
2025-07-26,,13.734267,1.4158422,0.22938515,5.0771837,6.9778924,0.03396418
2025-07-27,,13.816192,1.4158422,0.22938515,5.0901666,7.0606194,0.020179758
2025-07-28,,13.809085,1.4158422,0.22938515,5.10315,7.127657,-0.0669488
2025-07-29,,13.8396845,1.4158422,0.22938515,5.1161327,7.179295,-0.100970715
2025-07-30,,13.962388,1.4158422,0.22938515,5.1291165,7.2155695,-0.027525658
2025-07-31,,14.088553,1.4158422,0.22938515,5.1420994,7.236691,0.0645356
2025-08-01,,14.121117,1.4158422,0.22938515,5.1550827,7.243244,0.07756348
2025-08-02,,14.083362,1.4158422,0.22938515,5.1680655,7.235429,0.0346401
2025-08-03,,14.060549,1.4158422,0.22938515,5.1810493,7.213804,0.02046929
2025-08-04,,13.950021,1.4158422,0.22938515,5.1940327,7.179036,-0.068273656
2025-08-05,,13.880793,1.4158422,0.22938515,5.2070155,7.131547,-0.10299698
2025-08-06,,13.909237,1.4158422,0.22938515,5.219999,7.072095,-0.02808408
2025-08-07,,13.945494,1.4158422,0.22938515,5.2329817,7.0014877,0.06579647
2025-08-08,,13.890617,1.4158422,0.22938515,5.2459655,6.9203258,0.079098895
2025-08-09,,13.769111,1.4158422,0.22938515,5.2589483,6.82962,0.035315912
2025-08-10,,13.668033,1.4158422,0.22938515,5.2719316,6.7300086,0.02086553
2025-08-11,,13.482789,1.4158422,0.22938515,5.284915,6.6222844,-0.069637194
2025-08-12,,13.345593,1.4158422,0.22938515,5.297898,6.5074177,-0.104948685
2025-08-13,,13.314089,1.4158422,0.22938515,5.3108816,6.3865914,-0.028611245
2025-08-14,,13.296168,1.4158422,0.22938515,5.3238645,6.2600203,0.06705688
2025-08-15,,13.191596,1.4158422,0.22938515,5.336848,6.1288867,0.08063466
2025-08-16,,13.0252695,1.4158422,0.22938515,5.3498306,5.9942055,0.036006454
2025-08-17,,12.885905,1.4158422,0.22938515,5.3628144,5.856476,0.021388706
2025-08-18,,12.666835,1.4158422,0.22938515,5.3757977,5.7167735,-0.07096225
2025-08-19,,12.502739,1.4158422,0.22938515,5.3887806,5.5756965,-0.1069658
2025-08-20,,12.451978,1.4158422,0.22938515,5.401764,5.4341245,-0.02913773
2025-08-21,,12.420939,1.4158422,0.22938515,5.4147468,5.2926497,0.06831678
2025-08-22,,12.306785,1.4158422,0.22938515,5.4277306,5.1517663,0.08206127
2025-08-23,,12.135194,1.4158422,0.22938515,5.4407134,5.0125713,0.036682177
2025-08-24,,11.995782,1.4158422,0.22938515,5.4536967,4.8750715,0.021787088
2025-08-25,,11.779827,1.4158422,0.22938515,5.4666796,4.7402067,-0.07228697
2025-08-26,,11.623681,1.4158422,0.22938515,5.4796634,4.6077743,-0.10898344
2025-08-27,,11.58708,1.4158422,0.22938515,5.4926467,4.4789023,-0.029696532
2025-08-28,,11.573891,1.4158422,0.22938515,5.5056295,4.353399,0.06963608
2025-08-29,,11.479374,1.4158422,0.22938515,5.518613,4.2318697,0.0836654
2025-08-30,,11.328439,1.4158422,0.22938515,5.5315957,4.114258,0.03735777
2025-08-31,,11.21258,1.4158422,0.22938515,5.544579,4.000706,0.022067659
2025-09-01,,11.020543,1.4158422,0.22938515,5.5575624,3.891386,-0.073632
2025-09-02,,10.891201,1.4158422,0.22938515,5.5705457,3.78644,-0.11101141
2025-09-03,,10.884102,1.4158422,0.22938515,5.583529,3.6856012,-0.030255876
2025-09-04,,10.901685,1.4158422,0.22938515,5.5965123,3.5890498,0.07089608
2025-09-05,,10.836421,1.4158422,0.22938515,5.6094956,3.4964976,0.085201465
2025-09-06,,10.713562,1.4158422,0.22938515,5.6224785,3.407823,0.038033232
2025-09-07,,10.625801,1.4158422,0.22938515,5.635462,3.322642,0.022470796
2025-09-08,,10.459743,1.4158422,0.22938515,5.6484447,3.2410274,-0.07495653
2025-09-09,,10.356396,1.4158422,0.22938515,5.661428,3.1626997,-0.11295901
2025-09-10,,10.375953,1.4158422,0.22938515,5.674411,3.0870957,-0.030781528
2025-09-11,,10.418875,1.4158422,0.22938515,5.6873946,3.0140975,0.072155595
2025-09-12,,10.375662,1.4158422,0.22938515,5.7003784,2.9433408,0.08671617
2025-09-13,,10.271865,1.4158422,0.22938515,5.7133613,2.8745599,0.038716517
2025-09-14,,10.201856,1.4158422,0.22938515,5.7263446,2.8072963,0.022988513
