ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,0.3006748,0.07832116,-0.0036940165,0.3738857,-0.14852592,0.0006878973
2025-06-13,,0.3060595,0.07832116,-0.0036940165,0.37476158,-0.14480127,0.0014720558
2025-06-14,,0.31049174,0.07832116,-0.0036940165,0.37563753,-0.14045021,0.00067732105
2025-06-15,,0.31666932,0.07832116,-0.0036940165,0.37651342,-0.13544446,0.00097322644
2025-06-16,,0.32059053,0.07832116,-0.0036940165,0.37738937,-0.12974855,-0.0016774259
2025-06-17,,0.32746786,0.07832116,-0.0036940165,0.37826526,-0.123347834,-0.0020767022
2025-06-18,,0.33749086,0.07832116,-0.0036940165,0.37914115,-0.11618069,-9.677696e-05
2025-06-19,,0.34711352,0.07832116,-0.0036940165,0.3800171,-0.108236834,0.00070613174
2025-06-20,,0.35752058,0.07832116,-0.0036940165,0.380893,-0.09950663,0.0015070861
2025-06-21,,0.3671491,0.07832116,-0.0036940165,0.38176894,-0.08994038,0.0006934268
2025-06-22,,0.3787127,0.07832116,-0.0036940165,0.38264483,-0.0795581,0.0009988629
2025-06-23,,0.3881389,0.07832116,-0.0036940165,0.38352072,-0.06829311,-0.0017158682
2025-06-24,,0.40069443,0.07832116,-0.0036940165,0.3843966,-0.056207173,-0.002122157
2025-06-25,,0.41654307,0.07832116,-0.0036940165,0.38527256,-0.04325379,-0.00010283882
2025-06-26,,0.4320361,0.07832116,-0.0036940165,0.3861485,-0.029461347,0.00072185695
2025-06-27,,0.44836795,0.07832116,-0.0036940165,0.3870244,-0.014825455,0.0015419127
2025-06-28,,0.46388602,0.07832116,-0.0036940165,0.3879003,0.00064908515,0.00070954184
2025-06-29,,0.48133796,0.07832116,-0.0036940165,0.38877618,0.016912319,0.0010223185
2025-06-30,,0.4964915,0.07832116,-0.0036940165,0.38965207,0.03397005,-0.0017577384
2025-07-01,,0.51475215,0.07832116,-0.0036940165,0.39052802,0.05176844,-0.002171438
2025-07-02,,0.5362157,0.07832116,-0.0036940165,0.3914039,0.0702889,-0.0001042354
2025-07-03,,0.55709934,0.07832116,-0.0036940165,0.3922798,0.08945482,0.00073755486
2025-07-04,,0.5786229,0.07832116,-0.0036940165,0.39315575,0.10926339,0.0015766257
2025-07-05,,0.5990223,0.07832116,-0.0036940165,0.39403164,0.1296382,0.00072532345
2025-07-06,,0.62105817,0.07832116,-0.0036940165,0.3949076,0.15048115,0.0010422675
2025-07-07,,0.6404208,0.07832116,-0.0036940165,0.39578348,0.17180634,-0.001796189
2025-07-08,,0.6625526,0.07832116,-0.0036940165,0.39665937,0.1934888,-0.0022227822
2025-07-09,,0.68754524,0.07832116,-0.0036940165,0.39753526,0.21548834,-0.00010559114
2025-07-10,,0.7115121,0.07832116,-0.0036940165,0.3984112,0.23771918,0.0007545824
2025-07-11,,0.73560554,0.07832116,-0.0036940165,0.3992871,0.26007962,0.0016116776
2025-07-12,,0.75803214,0.07832116,-0.0036940165,0.40016305,0.2825008,0.0007411
2025-07-13,,0.78163695,0.07832116,-0.0036940165,0.40103894,0.3049063,0.001064503
2025-07-14,,0.80193204,0.07832116,-0.0036940165,0.40191483,0.32722467,-0.0018346027
2025-07-15,,0.8244774,0.07832116,-0.0036940165,0.40279078,0.34932753,-0.0022680578
2025-07-16,,0.84935415,0.07832116,-0.0036940165,0.40366668,0.37116915,-0.00010882352
2025-07-17,,0.8725786,0.07832116,-0.0036940165,0.40454257,0.3926387,0.0007702536
2025-07-18,,0.89531225,0.07832116,-0.0036940165,0.40541852,0.41362044,0.0016461635
2025-07-19,,0.9157486,0.07832116,-0.0036940165,0.4062944,0.43406993,0.0007572196
2025-07-20,,0.93678546,0.07832116,-0.0036940165,0.4071703,0.45389643,0.0010916127
2025-07-21,,0.9537975,0.07832116,-0.0036940165,0.40804625,0.47299895,-0.0018748275
2025-07-22,,0.97252613,0.07832116,-0.0036940165,0.40892214,0.49129432,-0.0023174211
2025-07-23,,0.9930262,0.07832116,-0.0036940165,0.4097981,0.5087111,-0.00011013667
2025-07-24,,1.0112647,0.07832116,-0.0036940165,0.41067398,0.52517635,0.0007873129
2025-07-25,,1.0285058,0.07832116,-0.0036940165,0.41154987,0.54064786,0.0016809936
2025-07-26,,1.0428361,0.07832116,-0.0036940165,0.41242582,0.5550102,0.0007729888
2025-07-27,,1.0572691,0.07832116,-0.0036940165,0.4133017,0.5682264,0.0011138994
2025-07-28,,1.06714,0.07832116,-0.0036940165,0.4141776,0.5802485,-0.001913208
2025-07-29,,1.0783488,0.07832116,-0.0036940165,0.4150535,0.591035,-0.002366826
2025-07-30,,1.090968,0.07832116,-0.0036940165,0.41592944,0.60052484,-0.00011340831
2025-07-31,,1.1009419,0.07832116,-0.0036940165,0.4168054,0.60870504,0.00080440455
2025-08-01,,1.1095556,0.07832116,-0.0036940165,0.41768128,0.6155315,0.0017156999
2025-08-02,,1.1149696,0.07832116,-0.0036940165,0.41855717,0.6209962,0.0007891158
2025-08-03,,1.1202737,0.07832116,-0.0036940165,0.41943306,0.62508124,0.0011323177
2025-08-04,,1.1207644,0.07832116,-0.0036940165,0.42030895,0.6277799,-0.001951552
2025-08-05,,1.1224973,0.07832116,-0.0036940165,0.4211849,0.62910163,-0.0024162706
2025-08-06,,1.1256231,0.07832116,-0.0036940165,0.4220608,0.629052,-0.00011672065
2025-08-07,,1.1260368,0.07832116,-0.0036940165,0.42293668,0.6276529,0.00082004804
2025-08-08,,1.125113,0.07832116,-0.0036940165,0.42381263,0.6249226,0.0017507742
2025-08-09,,1.1210229,0.07832116,-0.0036940165,0.42468852,0.6209021,0.0008052525
2025-08-10,,1.1169752,0.07832116,-0.0036940165,0.42556447,0.6156291,0.0011544706
2025-08-11,,1.1082053,0.07832116,-0.0036940165,0.42644036,0.60913175,-0.0019937868
2025-08-12,,1.1009592,0.07832116,-0.0036940165,0.42731625,0.60147715,-0.0024612735
2025-08-13,,1.0954468,0.07832116,-0.0036940165,0.4281922,0.5927455,-0.00011798971
2025-08-14,,1.0874794,0.07832116,-0.0036940165,0.4290681,0.58294857,0.00083566486
2025-08-15,,1.0785347,0.07832116,-0.0036940165,0.42994398,0.5721777,0.0017858588
2025-08-16,,1.0667845,0.07832116,-0.0036940165,0.43081993,0.56051695,0.0008206335
2025-08-17,,1.0555233,0.07832116,-0.0036940165,0.43169582,0.5480171,0.0011832363
2025-08-18,,1.03995,0.07832116,-0.0036940165,0.43257177,0.53478336,-0.0020321386
2025-08-19,,1.026436,0.07832116,-0.0036940165,0.43344766,0.52087194,-0.0025107167
2025-08-20,,1.01521,0.07832116,-0.0036940165,0.43432355,0.5063786,-0.00011921778
2025-08-21,,1.002069,0.07832116,-0.0036940165,0.4351995,0.49139118,0.00085125514
2025-08-22,,0.9884781,0.07832116,-0.0036940165,0.4360754,0.47595614,0.0018194262
2025-08-23,,0.9726442,0.07832116,-0.0036940165,0.43695128,0.460229,0.0008367658
2025-08-24,,0.95788705,0.07832116,-0.0036940165,0.43782717,0.44422725,0.0012054684
2025-08-25,,0.9393437,0.07832116,-0.0036940165,0.43870312,0.42808393,-0.0020704533
2025-08-26,,0.9234556,0.07832116,-0.0036940165,0.43957907,0.41180962,-0.0025602023
2025-08-27,,0.9105135,0.07832116,-0.0036940165,0.4404549,0.395554,-0.00012256748
2025-08-28,,0.89617497,0.07832116,-0.0036940165,0.44133085,0.3793471,0.0008699436
2025-08-29,,0.881979,0.07832116,-0.0036940165,0.44220674,0.36329037,0.0018547667
2025-08-30,,0.86600477,0.07832116,-0.0036940165,0.4430827,0.34744203,0.0008529073
2025-08-31,,0.8516487,0.07832116,-0.0036940165,0.44395858,0.33183944,0.0012235232
2025-09-01,,0.8339109,0.07832116,-0.0036940165,0.44483447,0.31656015,-0.0021108107
2025-09-02,,0.8193994,0.07832116,-0.0036940165,0.44571036,0.30167165,-0.0026097267
2025-09-03,,0.8082777,0.07832116,-0.0036940165,0.4465863,0.2871902,-0.00012595825
2025-09-04,,0.79616445,0.07832116,-0.0036940165,0.44746226,0.27318954,0.0008855329
2025-09-05,,0.7845382,0.07832116,-0.0036940165,0.44833815,0.25968304,0.0018898646
2025-09-06,,0.7714161,0.07832116,-0.0036940165,0.44921404,0.24670589,0.0008690583
2025-09-07,,0.760215,0.07832116,-0.0036940165,0.45008993,0.23425087,0.0012470216
2025-09-08,,0.74583143,0.07832116,-0.0036940165,0.45096588,0.22238754,-0.002149093
2025-09-09,,0.73492163,0.07832116,-0.0036940165,0.45184177,0.21110715,-0.0026544563
2025-09-10,,0.727611,0.07832116,-0.0036940165,0.45271766,0.20039335,-0.00012714218
2025-09-11,,0.7193888,0.07832116,-0.0036940165,0.45359355,0.19026694,0.00090109534
2025-09-12,,0.7117329,0.07832116,-0.0036940165,0.4544695,0.18071193,0.0019242977
2025-09-13,,0.7025807,0.07832116,-0.0036940165,0.45534545,0.1717233,0.0008848027
2025-09-14,,0.6953992,0.07832116,-0.0036940165,0.45622134,0.16327728,0.0012734265
2025-09-15,,0.68486184,0.07832116,-0.0036940165,0.45709723,0.1553269,-0.0021894951
2025-09-16,,0.6778052,0.07832116,-0.0036940165,0.45797312,0.14790891,-0.0027039796
2025-09-17,,0.6742719,0.07832116,-0.0036940165,0.458849,0.14092399,-0.00012828542
2025-09-18,,0.6696588,0.07832116,-0.0036940165,0.45972496,0.13438836,0.0009182823
2025-09-19,,0.6654104,0.07832116,-0.0036940165,0.46060085,0.1282232,0.0019591355
2025-09-20,,0.6594274,0.07832116,-0.0036940165,0.46147674,0.1224225,0.00090096064
2025-09-21,,0.6552154,0.07832116,-0.0036940165,0.4623527,0.11693852,0.0012970265
2025-09-22,,0.6473228,0.07832116,-0.0036940165,0.46322858,0.11169474,-0.002227744
2025-09-23,,0.64267373,0.07832116,-0.0036940165,0.46410453,0.10669303,-0.0027510363
2025-09-24,,0.64133924,0.07832116,-0.0036940165,0.46498042,0.10186339,-0.0001317134
2025-09-25,,0.63859105,0.07832116,-0.0036940165,0.4658563,0.09717375,0.00093381776
2025-09-26,,0.63592356,0.07832116,-0.0036940165,0.46673226,0.09256965,0.0019945255
2025-09-27,,0.6311722,0.07832116,-0.0036940165,0.46760815,0.0880202,0.0009166976
2025-09-28,,0.6279028,0.07832116,-0.0036940165,0.4684841,0.08347535,0.0013161895
2025-09-29,,0.62061983,0.07832116,-0.0036940165,0.46936,0.078900896,-0.0022681903
2025-09-30,,0.6163374,0.07832116,-0.0036940165,0.47023588,0.07427748,-0.002803151
2025-10-01,,0.6151348,0.07832116,-0.0036940165,0.47111183,0.069528624,-0.00013281412
2025-10-02,,0.61224425,0.07832116,-0.0036940165,0.47198772,0.06468009,0.0009493268
2025-10-03,,0.6091961,0.07832116,-0.0036940165,0.47286367,0.059676357,0.0020289477
