ds,y,yhat1,lagged_regressor_y_lag11,lagged_regressor_y_rolling_mean71,trend,season_yearly,season_weekly
2025-06-12,,3168.749,904.99036,-209.7323,2444.6206,27.158777,1.7114027
2025-06-13,,3165.046,904.99036,-209.7323,2443.7734,22.050581,3.9636576
2025-06-14,,3159.0977,904.99036,-209.7323,2442.9263,17.093973,3.8193848
2025-06-15,,3174.4966,904.99036,-209.7323,2442.0789,12.384913,24.774672
2025-06-16,,3135.573,904.99036,-209.7323,2441.2317,7.9792976,-8.896046
2025-06-17,,3124.019,904.99036,-209.7323,2440.3843,3.9698703,-15.593268
2025-06-18,,3125.4827,904.99036,-209.7323,2439.537,0.3991218,-9.711733
2025-06-19,,3133.0483,904.99036,-209.7323,2438.69,-2.6356711,1.7362618
2025-06-20,,3131.9292,904.99036,-209.7323,2437.8428,-5.1115136,3.939802
2025-06-21,,3129.06,904.99036,-209.7323,2436.9954,-6.973783,3.7802067
2025-06-22,,3147.794,904.99036,-209.7323,2436.148,-8.185144,24.572748
2025-06-23,,3113.0159,904.99036,-209.7323,2435.3008,-8.7291355,-8.814109
2025-06-24,,3105.704,904.99036,-209.7323,2434.4536,-8.580186,-15.427403
2025-06-25,,3111.468,904.99036,-209.7323,2433.6062,-7.7424254,-9.654087
2025-06-26,,3123.5308,904.99036,-209.7323,2432.759,-6.194807,1.7084259
2025-06-27,,3127.107,904.99036,-209.7323,2431.9116,-3.9794908,3.9167533
2025-06-28,,3128.975,904.99036,-209.7323,2431.0645,-1.0883878,3.7411513
2025-06-29,,3152.2761,904.99036,-209.7323,2430.2173,2.4448013,24.355978
2025-06-30,,3122.4468,904.99036,-209.7323,2429.37,6.570984,-8.752234
2025-07-01,,3119.7341,904.99036,-209.7323,2428.5227,11.254239,-15.301017
2025-07-02,,3129.8286,904.99036,-209.7323,2427.6755,16.451395,-9.55638
2025-07-03,,3145.8643,904.99036,-209.7323,2426.8281,22.09714,1.6808168
2025-07-04,,3153.2417,904.99036,-209.7323,2425.981,28.13251,3.8701854
2025-07-05,,3158.5938,904.99036,-209.7323,2425.1335,34.487316,3.7148345
2025-07-06,,3184.747,904.99036,-209.7323,2424.2864,41.076225,24.126217
2025-07-07,,3157.8757,904.99036,-209.7323,2423.4392,47.848724,-8.670319
2025-07-08,,3157.397,904.99036,-209.7323,2422.5918,54.71848,-15.171771
2025-07-09,,3169.1172,904.99036,-209.7323,2421.7446,61.573486,-9.458887
2025-07-10,,3186.2324,904.99036,-209.7323,2420.8972,68.39805,1.6789707
2025-07-11,,3194.2002,904.99036,-209.7323,2420.05,75.045944,3.8459532
2025-07-12,,3199.6226,904.99036,-209.7323,2419.203,81.47301,3.688421
2025-07-13,,3225.1084,904.99036,-209.7323,2418.3555,87.583595,23.911108
2025-07-14,,3197.4985,904.99036,-209.7323,2417.5083,93.32037,-8.588456
2025-07-15,,3195.4893,904.99036,-209.7323,2416.6611,98.598976,-15.028626
2025-07-16,,3205.0398,904.99036,-209.7323,2415.8137,103.35425,-9.386304
2025-07-17,,3219.3975,904.99036,-209.7323,2414.9666,107.521255,1.6515783
2025-07-18,,3224.2073,904.99036,-209.7323,2414.1191,111.02926,3.8005922
2025-07-19,,3226.0405,904.99036,-209.7323,2413.272,113.86085,3.64943
2025-07-20,,3247.3335,904.99036,-209.7323,2412.4248,115.94358,23.707209
2025-07-21,,3215.5615,904.99036,-209.7323,2411.5774,117.24229,-8.516385
2025-07-22,,3208.8252,904.99036,-209.7323,2410.73,117.73872,-14.901918
2025-07-23,,3213.2554,904.99036,-209.7323,2409.8828,117.4033,-9.289038
2025-07-24,,3222.165,904.99036,-209.7323,2409.0356,116.22181,1.6494899
2025-07-25,,3221.412,904.99036,-209.7323,2408.1885,114.18839,3.7771506
2025-07-26,,3217.5322,904.99036,-209.7323,2407.341,111.3099,3.622885
2025-07-27,,3232.8433,904.99036,-209.7323,2406.494,107.599205,23.491976
2025-07-28,,3195.5366,904.99036,-209.7323,2405.6465,103.06637,-8.434588
2025-07-29,,3183.0269,904.99036,-209.7323,2404.7993,97.74447,-14.775059
2025-07-30,,3181.669,904.99036,-209.7323,2403.9521,91.675156,-9.21623
2025-07-31,,3184.8833,904.99036,-209.7323,2403.1047,84.873215,1.64717
2025-08-01,,3178.6792,904.99036,-209.7323,2402.2576,77.43266,3.7310164
2025-08-02,,3169.622,904.99036,-209.7323,2401.4102,69.36981,3.5839913
2025-08-03,,3179.8457,904.99036,-209.7323,2400.563,60.760468,23.264187
2025-08-04,,3138.311,904.99036,-209.7323,2399.7158,51.689964,-8.352846
2025-08-05,,3121.6934,904.99036,-209.7323,2398.8687,42.193295,-14.626785
2025-08-06,,3116.4995,904.99036,-209.7323,2398.0212,32.36337,-9.143191
2025-08-07,,3116.336,904.99036,-209.7323,2397.1738,22.284052,1.6199833
2025-08-08,,3107.316,904.99036,-209.7323,2396.3267,12.024848,3.7064216
2025-08-09,,3095.9697,904.99036,-209.7323,2395.4795,1.6871225,3.5452204
2025-08-10,,3104.2776,904.99036,-209.7323,2394.632,-8.661643,23.049007
2025-08-11,,3061.7954,904.99036,-209.7323,2393.785,-18.95759,-8.290093
2025-08-12,,3044.619,904.99036,-209.7323,2392.9375,-29.093025,-14.483903
2025-08-13,,3039.3328,904.99036,-209.7323,2392.0903,-38.96959,-9.046158
2025-08-14,,3039.5325,904.99036,-209.7323,2391.2432,-48.561676,1.5930241
2025-08-15,,3031.566,904.99036,-209.7323,2390.3958,-57.76954,3.6816316
2025-08-16,,3021.8208,904.99036,-209.7323,2389.5486,-66.51648,3.5305455
2025-08-17,,3032.0513,904.99036,-209.7323,2388.7014,-74.751396,22.843262
2025-08-18,,2992.5024,904.99036,-209.7323,2387.854,-82.40129,-8.208374
2025-08-19,,2978.4868,904.99036,-209.7323,2387.0068,-89.42126,-14.356863
2025-08-20,,2976.7026,904.99036,-209.7323,2386.1594,-95.7654,-8.949342
2025-08-21,,2980.7478,904.99036,-209.7323,2385.3123,-101.38884,1.5662916
2025-08-22,,2977.082,904.99036,-209.7323,2384.465,-106.25863,3.6176171
2025-08-23,,2972.0178,904.99036,-209.7323,2383.6177,-110.34973,3.4917154
2025-08-24,,2987.0137,904.99036,-209.7323,2382.7705,-113.6428,22.62802
2025-08-25,,2952.9224,904.99036,-209.7323,2381.923,-116.13213,-8.126707
2025-08-26,,2944.2893,904.99036,-209.7323,2381.076,-117.81504,-14.2296715
2025-08-27,,2947.9277,904.99036,-209.7323,2380.2285,-118.68298,-8.876087
2025-08-28,,2957.463,904.99036,-209.7323,2379.3813,-118.76428,1.5876465
2025-08-29,,2959.316,904.99036,-209.7323,2378.5342,-118.06842,3.5919237
2025-08-30,,2959.7551,904.99036,-209.7323,2377.687,-116.642845,3.4530096
2025-08-31,,2980.0005,904.99036,-209.7323,2376.8396,-114.49779,22.400673
2025-09-01,,2951.5132,904.99036,-209.7323,2375.9922,-111.68305,-8.054293
2025-09-02,,2948.0786,904.99036,-209.7323,2375.145,-108.242546,-14.081865
2025-09-03,,2956.518,904.99036,-209.7323,2374.2979,-104.23534,-8.802604
2025-09-04,,2970.542,904.99036,-209.7323,2373.4507,-99.72765,1.560894
2025-09-05,,2976.674,904.99036,-209.7323,2372.6033,-94.75428,3.5669734
2025-09-06,,2981.017,904.99036,-209.7323,2371.7559,-89.411354,3.4144285
2025-09-07,,3004.6345,904.99036,-209.7323,2370.9087,-83.716324,22.1841
2025-09-08,,2979.5386,904.99036,-209.7323,2370.0615,-77.80845,-7.972693
2025-09-09,,2978.8394,904.99036,-209.7323,2369.2144,-71.693924,-13.939248
2025-09-10,,2989.44,904.99036,-209.7323,2368.367,-65.47932,-8.706017
